88,170,122,120,77,178,135,99,94,139,205,124,96,118,173,165
129,201,133,33,45,104,154,112,128,79,174,103,80,155,77,197
181,127,83,35,79,158,126,87,104,157,130,120,40,215,85,134
35,199,162,202,90,159,147,150,180,136,170,145,133,88,229,163
85,135,126,187,148,50,120,128,126,224,133,92,78,192,228,139
191,124,194,161,98,145,89,94,215,38,48,102,130,125,141,204
161,155,160,173,200,105,163,131,124,94,194,131,71,106,195,163
89,62,167,220,199,103,107,148,131,149,71,129,81,88,194,150
169,37,86,49,197,146,100,127,223,97,51,138,102,45,166,130
47,177,96,121,79,91,115,127,163,87,94,98,143,111,124,121
135,146,79,116,38,87,167,113,95,131,130,147,162,191,87,93
165,166,65,104,152,188,121,147,104,121,150,161,156,192,176,129
37,159,96,88,103,137,158,152,117,183,115,98,221,153,177,96
108,85,31,105,186,52,148,169,63,228,133,177,189,216,115,80
228,100,176,216,87,144,103,95,99,35,151,143,188,145,162,116
88,124,136,124,156,78,152,121,63,97,95,120,164,104,98,62
151,115,83,75,192,90,162,157,125,157,71,170,228,43,135,30
160,41,140,76,139,123,130,125,144,177,143,175,212,40,195,71
111,107,192,121,141,164,106,150,174,161,57,195,128,93,106,174
111,122,198,133,58,149,118,94,150,105,44,120,122,163,49,76
167,161,93,167,111,127,158,159,172,125,116,128,132,200,191,150
54,153,205,96,111,114,73,166,141,108,57,164,85,142,45,107
166,157,53,182,140,104,138,104,44,218,195,166,54,159,43,49
207,98,142,230,138,183,154,166,127,32,197,147,90,134,102,122
90,80,99,83,173,96,120,163,150,118,137,158,77,127,39,61
87,121,132,83,131,141,119,167,93,133,173,174,112,34,23,33
143,105,84,96,148,186,177,167,145,110,199,162,68,40,80,131
